category,sub_category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,i have ordered a phonepoco m from amazon my transaction was successful and my order was done next day i got a call and whatsapp message from the number that my order was cancelled and i have to repay through a given bank account account name amazon india pvt ltd account number ifsc code idfb bank name idfc first bank amount rs and i checked amazon that my order was cancelled and i got my refund too when i got my refund i send an amount as he said to me so that my order could be delivered then i contacted with amazon customer care about this and then i came to knew that this was a fraud next day again that same person messaged me this dear customer it seems that your second payment is also reversed complete the payment before am from other account or other device to activate the order and get the order delivered today your order is red flagged and second payment is held for credit once new payment is done previous amount will be instantly credited back to your bank and order will be instantly activated and delivered then i told him that refund my amount then i will again pay but he ignored me
Online Financial Fraud,UPI Related Frauds,my account has been debited through un authorised upi i had complain in customer care and branch but as usal no response made by bank branch and customer bank officials are behaving rudly and not supporting to me please you look into matter and reversel these of my un authorised transactions
Online Financial Fraud,UPI Related Frauds,fraud through upi fraud phone bank icici bank ac please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,fraud through upi fraudpay tm bank name punjab national bank including oriental bank of commerce and united bank of india account no total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,they asked for first they said they are going to trade with that amount later again they took to withdraw the trading amount the instagram account is now deactivated once i paid they asked for more amount then i told them i will give a police complaint immeadiately they blocked me i lost a total sum of please help make sure that no one else is loosing money like me
Online Financial Fraud,UPI Related Frauds,i received a call from unknown number yesterday he told me that he is a known of me but actual a dont know him and he told me that my father has asked him to transfer an amount of in my account which was a false statement some how he sent me a fake message in my paytm message box n by fraud he has done some mischievous activity by which i had sent him by mistake in his upi account
Online Financial Fraud,UPI Related Frauds,reward show ho rha tha phone pe ma usko account ma lana ka liya mana card detail dali tab account sa paisa debit hogaya rs date time pm please help me refund debit amount in my account
Online Financial Fraud,UPI Related Frauds,httpsgroovyfashioncom this is the fraud site please help in solving my problem i lost money this site is report by many peoplehttpswwwconsumercomplaintsinbycompanygroovyfashionahtml check them here please help
Online Financial Fraud,UPI Related Frauds,the website yoggramofficialnet wrongly stated that it is the original patanjali yog gram and took rs for registration of my mother for medical treatment and provided forged receipt the whatsapp number of the fraudulent person is and name of the person stated is ganpath the person said two seats were left in the cottage and took rs per day for days ie rs kindly take necessary legal action so that i can get my money back
Online Financial Fraud,UPI Related Frauds,upiphonepe gift voucher card fraud
Online Financial Fraud,UPI Related Frauds,please help as this is a fraud which i have been scammed upon upi mode gpay medium help me please date was december and sim was blocked by scammer had to restart services next day amount
Online Financial Fraud,UPI Related Frauds,i need help sir please help me please help me please help me please help me please help me please help me please help me please help me please help me please help me please help me please help me please hele me ple
Online Financial Fraud,UPI Related Frauds,online frauds loan fraud vishingsmishing phone the victim received a call from unknown suspect offering him a loan of lakh from so called indiabulls consumer finanace company to process this loan amount he asked him processing fees through this the suspect was able to collect large amount in multiple transactions through googlepay suspected account no ifsc code ioba indian overseas bank
Online Financial Fraud,UPI Related Frauds,vishing call victim received a call from sbi customer care suspect told loan officer for your account given reg frees and other charges to send money victim send amount to suspect victim amount lost suspect mobile no amount lost rs
Online Financial Fraud,UPI Related Frauds,fraud through upi phone pe bank indian bank account number total amount please holdreverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,mera mobile me playtstore se ek tresure app download kiya tha uske accrding ye sara pesa deduct hua h us id se baar payment kata h pahle to baar gain hua tha tab usme as a investment aur lagaya tha phir vapas nahi mila
Online Financial Fraud,UPI Related Frauds,i called sbi customer to check why my internet banking was not working the call got disconnected in between and i received a call from a number claiming to be the same person i was talking before he sent me sms on which he asked to click and i lost money
Online Financial Fraud,UPI Related Frauds,i paid for an pubg account after that he vanished and now he not even showing in telegram account disappeared his account not showing not from my father telegram i paid him i also attached the paid screenshot
Online Financial Fraud,UPI Related Frauds,sir i received a phone call by no on my no caller said he will credit some money to my account then he send rs to my account after that he send a request of to my google pay then he said to me to click a button as i click a button my hard earned my rs debited from my account so it is requested you to please take necessary legal action against perprators
Online Financial Fraud,UPI Related Frauds,mujhe ek ladki ne call kiya usne aise behave kiya jaise wo mujhe jaanti ho usne bola wo mujhse rs bhej rahi hai mene pucha kyo fir usne kaha ki papa ne paise bhejne ke liye bola hai then mene papa ko call kiya unka call nahi mila mere accout me rs the usne bola ki wo tukdo me bhejegi to wo rs bhej rahi hai to usne pay ke option pe click karne ko bola or mene kar diya fir message aaya to mujhe pata laga ki mere rs kat gaye
Online Financial Fraud,UPI Related Frauds,yesterday l got a scam call he shared a screen on which there was a option of send then upi pin was required for payment he said that you dont need to put your pin i will be putting it then he said just go and do check balance by entering pin the same right place then amount got debited from account
Online Financial Fraud,UPI Related Frauds,sir receive call number and i receive call and he make my relative than he say problem so i think he really my relative so i send money but some time later relaised he not my relative and fraud
Online Financial Fraud,UPI Related Frauds,maine instagram pe i phone dekha to maine usse pucha ki phone chaiye or usne bola ko thik hai de dunga par paise lagenge maine de diya par delevery wale din manga bola tab aayga phone ghar
Online Financial Fraud,UPI Related Frauds,i did not recived any sms and regarding this when i went to withdraw from atm i came to know no amount was insufficient i also went to bank for enquery and bank suggested me to file an fir earlear this had happened to me but no action has been taken towards my issue
Online Financial Fraud,UPI Related Frauds,rahul pandey mere hi gaav ka nivasi hai jisse mere dwara karaya gya hai aapse binamra nivedan hai ki mere khate se paisa katne ka pura ka pura kaam usi ka hai jisse mujhe bahut hi haani ka samna karna pada hai
Online Financial Fraud,UPI Related Frauds,fraud through upi fraud phone pe bank icici bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,upi fraud total amount sir i have taken money from credit bus and today is the due date of loan their agent ask me to pay my due through upi id which i mentioned above they said that server is slow so pay through direct on upi id i paid on said upi idlater they said i have not received and started harassing me sending me abusive message me and my relativesand friends they send whatsapp msg through sir please take necessary action
